No.;Time;;;;;;Time 2;Time 1;Delay;;;Delay 1;Delay 2;Jitter
99;2,322669;;;;;;2,323091;2,322669;0,000422;;;-0,006981;0,007403;0,014384
100;2,323091;;;;;;2,330494;2,323091;0,007403;;;0,007147;0,000256;-0,006891
101;2,330494;;;;;;2,33075;2,330494;0,000256;;;0,000212;4,4E-05;-0,000168
102;2,33075;;;;;;2,330794;2,33075;4,4E-05;;;-0,000837;0,000881;0,001718
103;2,330794;;;;;;2,331675;2,330794;0,000881;;;-0,036199;0,03708;0,073279
104;2,331675;;;;;;2,368755;2,331675;0,03708;;;-0,268281;0,305361;0,573642
105;2,368755;;;;;;2,674116;2,368755;0,305361;;;0,276684;0,028677;-0,248007
106;2,674116;;;;;;2,702793;2,674116;0,028677;;;0,028548;0,000129;-0,028419
107;2,702793;;;;;;2,702922;2,702793;0,000129;;;-0,001382;0,001511;0,002893
108;2,702922;;;;;;2,704433;2,702922;0,001511;;;-0,000936;0,002447;0,003383
109;2,704433;;;;;;2,70688;2,704433;0,002447;;;-0,023183;0,02563;0,048813
110;2,70688;;;;;;2,73251;2,70688;0,02563;;;0,005761;0,019869;0,014108
111;2,73251;;;;;;2,752379;2,73251;0,019869;;;-1,386701;1,40657;2,793271
112;2,752379;;;;;;4,158949;2,752379;1,40657;;;1,377632;0,028938;-1,348694
113;4,158949;;;;;;4,187887;4,158949;0,028938;;;0,015199;0,013739;-0,00146
114;4,187887;;;;;;4,201626;4,187887;0,013739;;;0,013468;0,000271;-0,013197
115;4,201626;;;;;;4,201897;4,201626;0,000271;;;-0,000218;0,000489;0,000707
116;4,201897;;;;;;4,202386;4,201897;0,000489;;;-0,008;0,008489;0,016489
117;4,202386;;;;;;4,210875;4,202386;0,008489;;;-0,023642;0,032131;0,055773
118;4,210875;;;;;;4,243006;4,210875;0,032131;;;0,03169;0,000441;-0,031249
119;4,243006;;;;;;4,243447;4,243006;0,000441;;;0,000252;0,000189;-6,3E-05
120;4,243447;;;;;;4,243636;4,243447;0,000189;;;0,000182;7E-06;-0,000175
121;4,243636;;;;;;4,243643;4,243636;7E-06;;;-0,026081;0,026088;0,052169
122;4,243643;;;;;;4,269731;4,243643;0,026088;;;-0,002329;0,028417;0,030746
123;4,269731;;;;;;4,298148;4,269731;0,028417;;;-0,017793;0,04621;0,064003
124;4,298148;;;;;;4,344358;4,298148;0,04621;;;0,012885;0,033325;0,02044
125;4,344358;;;;;;4,377683;4,344358;0,033325;;;0,02848;0,004845;-0,023635
126;4,377683;;;;;;4,382528;4,377683;0,004845;;;0,001868;0,002977;0,001109
127;4,382528;;;;;;4,385505;4,382528;0,002977;;;-0,009472;0,012449;0,021921
128;4,385505;;;;;;4,397954;4,385505;0,012449;;;0,012185;0,000264;-0,011921
129;4,397954;;;;;;4,398218;4,397954;0,000264;;;-0,001209;0,001473;0,002682
130;4,398218;;;;;;4,399691;4,398218;0,001473;;;0,000764;0,000709;-5,5E-05
131;4,399691;;;;;;4,4004;4,399691;0,000709;;;0,000273;0,000436;0,000163
132;4,4004;;;;;;4,400836;4,4004;0,000436;;;0,000206;0,00023;2,4E-05
133;4,400836;;;;;;4,401066;4,400836;0,00023;;;6E-06;0,000224;0,000218
134;4,401066;;;;;;4,40129;4,401066;0,000224;;;3,5E-05;0,000189;0,000154
135;4,40129;;;;;;4,401479;4,40129;0,000189;;;1E-05;0,000179;0,000169
136;4,401479;;;;;;4,401658;4,401479;0,000179;;;-6E-06;0,000185;0,000191
137;4,401658;;;;;;4,401843;4,401658;0,000185;;;-0,002789;0,002974;0,005763
138;4,401843;;;;;;4,404817;4,401843;0,002974;;;-0,001631;0,004605;0,006236
139;4,404817;;;;;;4,409422;4,404817;0,004605;;;0,004484;0,000121;-0,004363
140;4,409422;;;;;;4,409543;4,409422;0,000121;;;-0,001053;0,001174;0,002227
141;4,409543;;;;;;4,410717;4,409543;0,001174;;;-0,000301;0,001475;0,001776
142;4,410717;;;;;;4,412192;4,410717;0,001475;;;0,001353;0,000122;-0,001231
143;4,412192;;;;;;4,412314;4,412192;0,000122;;;-0,003182;0,003304;0,006486
144;4,412314;;;;;;4,415618;4,412314;0,003304;;;0,003098;0,000206;-0,002892
145;4,415618;;;;;;4,415824;4,415618;0,000206;;;-0,006854;0,00706;0,013914
146;4,415824;;;;;;4,422884;4,415824;0,00706;;;0,006941;0,000119;-0,006822
147;4,422884;;;;;;4,423003;4,422884;0,000119;;;-0,00122;0,001339;0,002559
148;4,423003;;;;;;4,424342;4,423003;0,001339;;;-0,000173;0,001512;0,001685
149;4,424342;;;;;;4,425854;4,424342;0,001512;;;0,000928;0,000584;-0,000344
150;4,425854;;;;;;4,426438;4,425854;0,000584;;;0,000584;0;-0,000584
151;4,426438;;;;;;4,426438;4,426438;0;;;0;0;0
152;4,426438;;;;;;4,426438;4,426438;0;;;0;0;0
153;4,426438;;;;;;4,426438;4,426438;0;;;0;0;0
154;4,426438;;;;;;4,426438;4,426438;0;;;0;0;0
155;4,426438;;;;;;4,426438;4,426438;0;;;-0,001197;0,001197;0,002394
156;4,426438;;;;;;4,427635;4,426438;0,001197;;;0,001197;0;-0,001197
157;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
158;4,427635;;;;;;4,427635;4,427635;0;;;0;0;0
